THE BEATLES                                                  |HEY JUDE (REMASTERED 2009)
LIL WAYNE & PLAYA CIRCLE                                     |DUFFLE BAG BOY
T.I.                                                         |DEAD AND GONE
MYSTIKAL                                                     |DANGER (BEEN SO LONG)
YOUNG JEEZY                                                  |PUT ON
OUTKAST                                                      |PLAYER'S BALL (ORIGINAL)
T.I.                                                         |BIG THINGS POPPIN' (DO IT)
SCARFACE                                                     |MIND PLAYIN' TRICKS ON ME 94
YOUNG JEEZY                                                  |LOSE MY MIND
JUVENILE                                                     |SET IT OFF
LIL WAYNE                                                    |GOT MONEY
JUVENILE                                                     |SLOW MOTION
BIRDMAN                                                      |MONEY TO BLOW
EDWARD SHARPE & THE MAGNETIC ZEROS                           |HOME
DAFT PUNK                                                    |ROBOT ROCK
FLUX PAVILION                                                |DAYDREAMER (RADIO EDIT)
THE GLITCH MOB                                               |A DREAM WITHIN A DREAM
BENNY BENASSI                                                |COME FLY AWAY (SOHA & ADAM K REMIX)
NERO                                                         |PROMISES
DAFT PUNK                                                    |TOO LONG/STEAM MACHINE (LIVE)
THE XX                                                       |INTRO
LINDSEY STIRLING                                             |TRANSCENDENCE
BASSNECTAR                                                   |TIMESTRETCH
FLUX PAVILION                                                |HOLD ME CLOSE
MOTORCYCLE                                                   |AS THE RUSH COMES (GABRIEL & DRESDEN CHILLOUT MIX)
DAFT PUNK                                                    |THE GRID (REMIXED BY THE CRYSTAL METHOD)
CASSETTES WON'T LISTEN                                       |KINGDOM
DEADMAU5                                                     |SLIP
DIGITALISM                                                   |MIAMI SHOWDOWN
BINGO PLAYERS                                                |MODE
SPIFFY MAN                                                   |A FOG LIT STREET
SUB FOCUS                                                    |ROCK IT
DEADMAU5                                                     |THE 16TH HOUR
ZEDD                                                         |SPECTRUM (ARMIN VAN BUUREN REMIX)
WOLFGANG GARTNER                                             |THE WAY IT WAS
DEADMAU5 & WOLFGANG GARTNER                                  |ANIMAL RIGHTS
DAFT PUNK                                                    |ADAGIO FOR TRON (REMIXED BY TEDDYBEARS)
THE GLITCH MOB                                               |DRIVE IT LIKE YOU STOLE IT
PORTER ROBINSON                                              |UNISON (MIKKAS REMIX)
PORTER ROBINSON                                              |UNISON
WOLFGANG GARTNER                                             |ILLMERICA
DAFT PUNK                                                    |DEREZZED (REMIXED BY THE GLITCH MOB)
DAFT PUNK                                                    |AERODYNAMIC
PENDULUM                                                     |THE ISLAND PT. II (DUSK)
DEADMAU5                                                     |MOAR GHOSTS 'N' STUFF
WOLFGANG GARTNER                                             |ILLMERICA (EXTENDED MIX)
NERO                                                         |IN THE WAY
THE GLITCH MOB                                               |HOW TO BE EATEN BY A WOMAN
NERO                                                         |ME AND YOU
DEADMAU5 & KASKADE                                           |I REMEMBER (INSTRUMENTAL)
BASSNECTAR                                                   |TIMESTRETCH (WEST COAST LO FI REMIX)
SKRILLEX                                                     |RUFFNECK (FLEX)
DEADMAU5                                                     |FAXING BERLIN
EXAMPLE                                                      |KICKSTARTS (BAR 9 REMIX)
THE GLITCH MOB                                               |WARRIOR CONCERTO
DAFT PUNK                                                    |ONE MORE TIME/AERODYNAMIC (LIVE)
BENNY BENASSI                                                |CINEMA (FEAT. GARY GO)
DEADMAU5                                                     |STROBE
